index1,name,coefs,coef_expit,coef_exp,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,0.4984,0.6221,1.6461,3706.4344,0.0,,
1,sp500_1yr_isnull,0.0,0.5,1.0,,,,
2,sp500_2yr_t,0.0708,0.5177,1.0733,1729.6989,0.0,,
3,sp500_2yr_isnull,0.0,0.5,1.0,,,,
4,sp500_3yr_t,-0.0352,0.4912,0.9654,1636.9371,0.0,,
5,sp500_3yr_isnull,0.0,0.5,1.0,,,,
6,sp500_4yr_t,0.228,0.5568,1.2561,509.8829,0.0,,
7,sp500_4yr_isnull,0.0,0.5,1.0,,,,
8,sp500_5yr_t,-0.8656,0.2962,0.4208,596.7964,0.0,,
9,sp500_5yr_isnull,0.0,0.5,1.0,,,,
10,sp500_6yr_t,0.3225,0.5799,1.3805,507.4595,0.0,,
11,sp500_6yr_isnull,0.0,0.5,1.0,,,,
12,sp500_7yr_t,0.4091,0.6009,1.5055,822.0922,0.0,,
13,sp500_7yr_isnull,0.0,0.5,1.0,,,,
14,sp500_8yr_t,0.3958,0.5977,1.4856,1850.1975,0.0,,
15,sp500_8yr_isnull,0.0,0.5,1.0,,,,
16,sp500_9yr_t,-1.0383,0.2615,0.3541,5673.7595,0.0,,
17,sp500_9yr_isnull,0.0,0.5,1.0,,,,
18,sp500_10yr_t,-0.5204,0.3728,0.5943,6993.3939,0.0,,
19,sp500_10yr_isnull,0.0,0.5,1.0,,,,
20,sp500_11yr_t,0.6709,0.6617,1.956,2090.6667,0.0,,
21,sp500_11yr_isnull,0.0,0.5,1.0,,,,
22,sp500_12yr_t,0.5726,0.6394,1.7728,979.545,0.0,,
23,sp500_12yr_isnull,0.0,0.5,1.0,,,,
